Objetivo,Pregunta,Opcion1_Correcta,Opcion2_Incorrecta1,Opcion3_Incorrecta2
1.1,¿Cuál es el resultado simplificado de 3/4 + 2/5?,23/20,5/19,6/20
1.1,"El número -3,45 pertenece al conjunto de los números:",Racionales (Q),Enteros (Z),Irracionales (I)
1.1,"Si a = -8 y b = -2, ¿cuál es el resultado de (a.b)/4?",-4,4,16
1.2,El número  √2  es un ejemplo de número,Irracional,Racional,Entero
1.2,¿Cuál de los siguientes números representa una expresión decimal periódica?,"0,333...","3,1415926...","2,5"
1.2,"Al aproximar el número 3,876 por redondeo a las centésimas, se obtiene:","3,88","3,87","3,8"
1.3, El conjunto solución de la inecuación 2x - 4 > 6 es:,"(5,∞)","(-∞,5)","[5,+∞)"
1.3,El valor de |-7| + |3| es igual a:,10,-4,4
1.3,La distancia en R entre los puntos a = -3 y b = 5 es:,8,2,-8
2.1,"La distancia entre los puntos A(1, 2) y B(4, 6) en el plano cartesiano es:",5,7,√7 
2.1,"La pendiente m de la recta que pasa por los puntos (0,0) y (2,4) es",2,1/2,-2
2.1," El punto (-3, 4) se encuentra ubicado en el cuadrante:",II,I,III
2.2,"Dadas f(x) = 2x y g(x) = x + 3, ¿cuál es el resultado de la composición (f o g)(x)?",2x + 6,2x + 3,x + 6
2.2,¿Cuál es el dominio de la función f(x) = 1/(x - 2),R \ {2},R,"[2,+∞)"
2.2,Una función f es inyectiva si:,A elementos distintos del dominio les corresponden imágenes distintas.,Todo elemento del codominio tiene preimagen.,"Su gráfica pasa por el origen (0,0)."
2.3,"¿Qué tipo de variable es ""el número de estudiantes en un aula de clase""?",Discreta,Continua,Irracional
2.3,"En una gráfica de sectores (torta), la suma de los porcentajes de todas las secciones equivale al:",100%,360%,10%
2.3,La representación gráfica formada por rectángulos contiguos cuya altura representa la frecuencia se llama:,Histogramas,Diagrama de Dispersion,Pictograma
3.1,El límite de la sucesión aₙ = 1/n cuando n→∞ es:,cero,1,∞
3.1,El termino general aₙ = (2ₙ+1)/(n+3) converge a:,2,1,3
3.1,La sucesión aₙ = 2^n cuando n→∞ es una sucesión:,Divergente,Convergente a 0,Acotada Superior
3.2,El valor del limite cuando x tiende a 2  de 3x² - 1 es:,11,5,12
3.2,El límite cuando x tiende a 0 de (x² + 2x)/x es igual a:,2,cero,Indeterminado
3.2,"Si el límite por la izquierda es lim x→a- f(x) = 3 y por la derecha lim x→a+ f(x) = 5, entonces lim cuando x tiende a a de f(x)",NO existe,es 4,es 8
3.3,Una función f(x) es continua en x = c si se cumple que:,lim x→c f(x) = f(c),f(c) = 0,lim x→c f(x) = ∞
3.3,La función f(x) = 1/x presenta una discontinuidad en el punto:,x=0,x=1,No tiene discontinuidad
3.3,"El Teorema de Bolzano garantiza que una función continua f en [a,b] con f(a).f(b) < 0 tiene al menos:","Una raíz real en (a,b)","Un máximo relativo en (a,b)","Un máximo relativo en (a,b)"
